tsne_1,tsne_2,label,name,type
11.947974,6.9782505,5,C[Si](C)(CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F)O[Si](C)(C)CCC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,main
-26.477303,5.7918224,0,FC(F)(F)c1cc(C(F)(F)F)cc(C(F)(F)F)c1,main
13.385598,4.212115,2,CC(C)[Si](OCc1ccoc1C(F)(F)F)(C(C)C)C(C)C,main
2.041538,-8.168562,3,FC(F)(F)C(F)(F)C1(F)C(F)(F)OC2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C21F,main
-18.883917,0.2499267,0,COC(OC)c1ccc(C(F)(F)F)cc1,main
-21.543524,-4.4099216,0,Fc1ccc(C2OCCO2)cc1F,main
-21.776922,-4.578238,0,Fc1cc(C2OCCO2)cc(F)c1F,main
-19.598005,-0.60928994,0,FC(F)(F)CSCc1ccccc1,main
5.7873864,-3.3178234,6,FC(F)(F)C(F)(F)C1(F)OC1(C(F)(F)F)C(F)(F)F,main
-26.33985,6.155482,0,Fc1c(C(F)(F)F)c(F)c(C(F)(F)F)c(F)c1C(F)(F)F,main
-25.055006,2.5229487,0,Fc1cc(C(F)(F)F)cc(F)c1F,main
-23.505056,1.9401013,0,Cc1cc(F)ccc1C(F)(F)F,main
12.890104,-1.4018949,4,FC(F)(F)C(F)(OC(F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F)C(F)(F)F,main
18.373014,3.6777575,2,COCOCC(F)(F)F,main
18.004805,2.0019817,2,COC(CSCC(F)(F)F)OC,main
10.268789,1.0943915,4,FC(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)F,main
-24.476736,-1.0437509,0,COCc1cccc(F)c1F,main
13.168679,-1.9541874,4,FC(F)(F)C(F)(F)C(F)(F)OC(F)(C(F)(F)C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)F,main
12.840035,-1.9925268,4,FC(F)(F)C(F)(F)C(F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,main
-19.768011,0.17234086,0,FC(F)(F)COc1ccc(C(F)(F)F)cc1,main
1.6931137,-8.10087,3,FC(F)(F)OC1(F)OC2(F)C(F)(F)C(F)(F)C(F)(F)C2(F)C1(F)F,main
1.9962426,-8.16598,3,FC(F)(F)C1(F)C(F)(F)OC2(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)C1(F)F,main
-19.485106,0.39676055,0,CSCOCc1cccc(C(F)(F)F)c1,main
2.241586,-8.3249445,3,FC(F)(F)C(F)(F)C1(F)C(F)(F)OC2(C(F)(F)C(F)(F)C(F)(F)C(F)(F)C2(F)F)C1(F)F,main
-24.578854,2.7372687,0,Cc1c(F)cccc1C(F)(F)F,main
2.2661204,-8.289452,3,FC(F)(F)C(F)(F)C(F)(F)C1(F)C(F)(F)OC2(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C21F,main
13.057742,-2.829906,4,FC(F)(F)C(F)(F)OC(F)(F)C(F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(C(F)(F)F)C(F)(F)C(F)(F)F,main
14.111889,-2.4975092,4,FC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)OC(C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F,main
13.796168,-2.6975367,4,FC(F)(F)C(F)(F)OC(F)(F)C(OC(F)(C(F)(F)F)C(F)(F)C(F)(F)C(F)(F)F)(C(F)(F)F)C(F)(F)F,main
3.06268,-7.6375537,3,FC(F)(F)C(OC(F)(F)C1(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C1(F)F)(C(F)(F)F)C(F)(F)F,main
9.818913,1.7915345,4,COC(C(F)F)(C(F)(F)F)C(F)(F)F,main
3.6769226,-1.319749,1,FC(F)(F)C(=C1C(F)(C(F)(F)F)OCCOC1(C(F)(F)F)C(F)(F)F)C(F)(F)F,main
6.0620685,-4.1194487,6,FC(F)(F)C(F)(F)C(F)(F)C1(F)OC(F)(F)C1(F)F,main
12.937475,-1.1653297,4,FC(F)(F)C(F)(F)OC(F)(F)C(F)(OC(F)(F)C(F)(F)F)C(F)(F)F,main
-23.943497,1.017483,0,FC(F)(F)c1ccccc1,main
5.577571,-2.9739466,6,FC(F)(F)C1(F)OC(C(F)(F)F)(C(F)(F)F)C1(F)F,main
6.6336794,-5.2863183,6,FC(F)(F)C(F)(CC1OCCO1)OC(F)(F)C(F)(F)C(F)(F)F,main
5.6269336,-1.0294509,6,FC(F)(F)C1(C(F)(F)F)OCC1(F)F,main
12.888703,-3.850849,4,CCCCC(F)C(F)(F)[Si](OC(O[Si](C(F)(F)F)(C(F)(F)F)C(F)(F)C(F)CCCC)[SiH2]CC[Si](C)(C)Cl)(C(F)(F)F)C(F)(F)F,main
-29.397757,3.2821803,0,FC(F)(F)c1ccc2ccc3cccc4ccc1c2c34,main
-26.65549,3.6379988,0,Fc1cc(F)c(F)c(C(F)(F)F)c1,main
-26.460152,3.5769815,0,Fc1ccc(F)c(C(F)(F)F)c1F,main
-20.653343,-0.16078128,0,Fc1ccc(OCC(F)(F)F)cc1,main
-24.237967,3.86519,0,FC(F)(F)c1ccc(C(F)(F)F)c2ccccc12,main
4.245495,1.2340274,1,CC[Si]1(CC)O[Si](CC)(CC)O[Si](CC)(CC)O[Si](CC)(CC)O1,main
-28.482035,3.013452,0,FC(F)(F)c1c2ccccc2cc2ccccc12,main
-22.156479,2.0041294,0,Fc1ccc(C(F)(F)C(F)(F)F)cc1,main
-18.496908,1.0293543,0,C[Si](C)(C)C(F)(F)C(F)(F)Oc1cccc(C(F)(F)F)c1,main
-0.31050453,-6.8501186,3,FC1(F)CCC(C(F)(F)F)CC1,main
-26.195492,6.6350317,0,FC(F)(F)c1c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c(C(F)(F)F)c1C(F)(F)F,main
-28.136724,2.1811116,0,Fc1c(F)c(F)c2c(F)c(F)c(F)c(F)c2c1F,main
-0.26907474,-5.691612,3,FC1(F)CCCCC1,main
-0.2690837,-5.260405,3,FC1CCCCC1,main
-28.791073,1.9906112,0,Fc1c(F)c(F)c(F)c(F)c1F,main
-0.13007684,-6.878104,3,FC(F)(F)C1CCC(C(F)(F)F)CC1,main
-23.456858,-2.4655585,0,Fc1ccc(F)cc1,main
-24.837423,0.3061954,0,Fc1cc2cc(F)c(F)cc2cc1F,main
0.9385679,-4.720245,3,FC1(F)C(F)(F)C(F)(F)C1(F)F,main
0.8010759,-5.156903,3,FC1C(F)C(F)(F)C(F)(F)C1(F)F,main
